geom,rrdistance,parid,luc_desc,taxdist_desc
0106000020BC0800000100000001030000000100000007000000A099991978B722412004568EAE1A3B41E04D62203AB7224160E3A5BB991A3B4120AE475132B72241400C028B9F1A3B41007F6A3CC6B6224140355E3A7B1A3B41608FC275A0B62241C0F528B4981A3B41A0ED7C3F49B72241205C8F6AD11A3B41A099991978B722412004568EAE1A3B41,29814.57341148061,8010907,Vacant Residential,DAYTONA BEACH
0106000020BC080000010000000103000000010000001100000080E926312BBA2241E0FBA9D1611B3B4100819543D3B9224180EB5110271B3B41E07A140EC8B922412085EB412B1B3B4180976E529BB922418068915D0D1B3B41E024062161B92241A06E1223231B3B4160BC74D3CDB9224140DF4FC56B1B3B41DE5D19F8D1B922411C8FD6206E1B3B41492B82CCD6B922410628F921701B3B41B7593D32DCB92241B51415BC711B3B4176124507E2B922417A2E11E5721B3B411DEAD526E8B92241E8649D95731B3B41179E566AEEB9224184D660C9731B3B41D8634BAAF4B92241EB37157F731B3B4109CC4EBFFAB9224199DC8EB8721B3B41C5180A8300BA2241D42EB17A711B3B4180E926D105BA224140DF4FCD6F1B3B4180E926312BBA2241E0FBA9D1611B3B41,29425.473404451976,8010922,Vacant Residential,DAYTONA BEACH
0106000020BC080000010000000103000000010000000900000020D9CE5785B82241C0F528B46D1A3B4160643B3F4BB8224160128340561A3B4180BE9F0A54B8224120DD24CE501A3B410054E385F2B7224160128370291A3B41E04F8DD7B1B72241E04F8D7F511A3B41400AD7C3FDB72241400AD7AB681A3B413DF2CFA02CB8224163031B0D781A3B410000006059B8224120DBF9EE881A3B4120D9CE5785B82241C0F528B46D1A3B41,29721.367114301072,8010934,Vacant Residential,DAYTONA BEACH
0106000020BC0800000100000001030000000100000007000000C020B0825ABC2241E0A59B6C0D1A3B41601283B0E2BB2241205A645BBD193B4140E17AA4AABB2241205A6453D2193B412083C0BAF5BB224180EB5180041A3B4160B81E85EABB22412085EBB1081A3B41E024064117BC224120DD2496261A3B41C020B0825ABC2241E0A59B6C0D1A3B41,29320.908982697532,8010975,Vacant Residential,DAYTONA BEACH
0106000020BC0800000100000001030000000100000007000000804160E5A3A12441C0CCCC2CE6D23941403333F3BCA1244140378909E3D23941202FDDC447A2244140B4C8A6D1D2394100FED4782FA2244160666626A1D2394160E7FBA946A12441C0C8764EBED23941C0A145F65EA1244120DBF9CEEED23941804160E5A3A12441C0CCCC2CE6D23941,7732.283194327887,8011097,Vacant Residential,EDGEWATER
0106000020BC0800000100000001030000000100000009000000A09BC480A59D244120DBF916C4D5394140B6F34D8C9D244160B81E4DBFD53941A09999F98B9D244100560E3DBFD539415F843362779D2441DB294BA5BAD53941C195FBF4639D2441CFD455ECB4D5394180E926F1519D2441C0CCCC24AED53941403333C3939C2441E0A37025F9D5394100295CAF4C9D2441A0ED7CEF38D63941A09BC480A59D244120DBF916C4D53941,7998.800786408651,8011113,Vacant Residential,EDGEWATER
0106000020BC0800000100000001030000000100000005000000E0A59B74609E2441A018049EE7D539412083C0FA029E244180976EDAD5D5394160105829AA9D2441A047E1B24AD63941C0F753A3079E2441200456765CD63941E0A59B74609E2441A018049EE7D53941,7898.849497389638,8011115,Vacant Residential,EDGEWATER
0106000020BC080000010000000103000000010000000F00000000D578799C612341408B6CBF55803A412083C07A9C612341C074938055803A4160E5D0A2EF6023414060E50056803A413E5C500CE7602341FEF9796656803A4197106EB9DE60234104D1728757803A410C3E90E9D660234162E4365B59803A41A33537D8CF602341EB62DBD35B803A414E2A38BBC9602341FCAB8DDE5E803A411C2A23C1C460234160AD226462803A412677E00FC1602341495AC74966803A4173CD8FC3BE60234160FBCC716A803A41002DB2EDBD602341A0438BBC6E803A41E04D62F0BC60234160B81E259D803A4100560EED9A612341203108549E803A4100D578799C612341408B6CBF55803A41,25458.60307497455,8011181,Vacant Residential,PORT ORANGE
0106000020BC080000010000000103000000010000000600000000D7A32027B82041E078E94E1F103A4100D7A35007B82041E02631481E103A41408B6C37BBB7204160BC74E31A103A41C0F3FD74B8B72041806ABCDC9B103A4160BC747324B8204100D7A3709C103A4100D7A32027B82041E078E94E1F103A41,1238.6904986643253,8011302,Vacant Residential,DELAND
0106000020BC08000001000000010300000001000000050000004008AC1CFFB8204100AC1C9A20103A412004561E93B82041C0A1450620103A41E0FBA97190B8204140E17A049D103A4140894170FCB82041408941989D103A414008AC1CFFB8204100AC1C9A20103A41,1168.1372218605838,8011304,Vacant Residential,DELAND
0106000020BC080000010000000103000000010000000500000040DF4F1DFCB82041A0C42098AC103A41E051B81E90B82041C0F52804AC103A41E078E9468EB82041E0F97E4A29113A4120DD2446FAB82041A0C420B029113A4140DF4F1DFCB82041A0C42098AC103A41,1274.9841148251596,8011331,Vacant Residential,DELAND
0106000020BC080000010000000103000000010000000B00000020DD24C6187D2341E024062127583B412031087C7C792341A01C5A6446573B41803F359EEE78234100FED498D8573B4160E7FB299C7C2341C020B012BE583B41C0CAA185507D2341400AD703EA583B4120DD24C6797D234160105879BF583B4120068195A77D2341A047E13A90583B41A0EFA7C6DE7D234120B29D4F57583B41E022DBF9C57D2341A0EFA74651583B41203108ECAF7D23416039B4E84B583B4120DD24C6187D2341E024062127583B41,103.97926776601153,8011373,Vacant Residential,ORMOND BEACH
